,0
1104,-10.978840846366147
1105,-10.957988347132783
1106,-10.93713584789942
1107,-10.916283348666052
1108,-10.895430849432689
1109,-10.874578350199325
1110,-10.853725850965962
1111,-10.832873351732598
1112,-10.812020852499234
1113,-10.79116835326587
1114,-10.770315854032507
1115,-10.749463354799143
1116,-10.728610855565776
1117,-10.707758356332413
1118,-10.686905857099049
1119,-10.666053357865685
1120,-10.645200858632322
1121,-10.624348359398958
1122,-10.603495860165594
1123,-10.58264336093223
1124,-10.561790861698867
1125,-10.540938362465504
1126,-10.520085863232136
1127,-10.499233363998773
1128,-10.478380864765409
1129,-10.457528365532045
1130,-10.436675866298682
1131,-10.415823367065318
1132,-10.394970867831955
1133,-10.374118368598591
1134,-10.353265869365227
1135,-10.332413370131864
1136,-10.311560870898496
1137,-10.290708371665133
1138,-10.26985587243177
1139,-10.249003373198406
1140,-10.228150873965042
1141,-10.207298374731678
1142,-10.186445875498315
1143,-10.165593376264951
1144,-10.144740877031587
1145,-10.12388837779822
1146,-10.103035878564857
1147,-10.082183379331493
1148,-10.06133088009813
1149,-10.040478380864766
1150,-10.019625881631402
1151,-9.998773382398038
1152,-9.977920883164675
1153,-9.957068383931311
1154,-9.936215884697948
1155,-9.91536338546458
1156,-9.894510886231217
1157,-9.873658386997853
1158,-9.85280588776449
1159,-9.831953388531126
1160,-9.811100889297762
1161,-9.790248390064399
1162,-9.769395890831035
1163,-9.748543391597671
1164,-9.727690892364308
1165,-9.70683839313094
1166,-9.685985893897577
1167,-9.665133394664213
1168,-9.64428089543085
1169,-9.623428396197486
1170,-9.602575896964122
1171,-9.581723397730759
1172,-9.560870898497395
1173,-9.540018399264032
1174,-9.519165900030664
1175,-9.4983134007973
1176,-9.477460901563937
1177,-9.456608402330573
1178,-9.43575590309721
1179,-9.414903403863846
1180,-9.394050904630483
1181,-9.373198405397119
1182,-9.352345906163755
1183,-9.331493406930392
1184,-9.310640907697024
1185,-9.28978840846366
1186,-9.268935909230297
1187,-9.248083409996934
1188,-9.22723091076357
1189,-9.206378411530206
1190,-9.185525912296843
1191,-9.164673413063479
1192,-9.143820913830115
1193,-9.122968414596752
1194,-9.102115915363385
1195,-9.081263416130021
1196,-9.060410916896657
1197,-9.039558417663294
1198,-9.01870591842993
1199,-8.997853419196566
1200,-8.977000919963203
1201,-8.95614842072984
1202,-8.935295921496476
1203,-8.914443422263108
1204,-8.893590923029745
1205,-8.872738423796381
1206,-8.851885924563017
1207,-8.831033425329654
1208,-8.81018092609629
1209,-8.789328426862927
1210,-8.768475927629563
1211,-8.7476234283962
1212,-8.726770929162836
1213,-8.705918429929469
1214,-8.685065930696105
1215,-8.664213431462741
1216,-8.643360932229378
1217,-8.622508432996014
1218,-8.60165593376265
1219,-8.580803434529287
1220,-8.559950935295923
1221,-8.53909843606256
1222,-8.518245936829196
1223,-8.497393437595829
1224,-8.476540938362465
1225,-8.455688439129101
1226,-8.434835939895738
1227,-8.413983440662374
1228,-8.39313094142901
1229,-8.372278442195647
1230,-8.351425942962283
1231,-8.33057344372892
1232,-8.309720944495552
1233,-8.288868445262189
1234,-8.268015946028825
1235,-8.247163446795462
1236,-8.226310947562098
1237,-8.205458448328734
1238,-8.18460594909537
1239,-8.163753449862007
1240,-8.142900950628643
1241,-8.12204845139528
1242,-8.101195952161913
1243,-8.080343452928549
1244,-8.059490953695185
1245,-8.038638454461822
1246,-8.017785955228458
1247,-7.996933455995094
1248,-7.976080956761731
